workload,mode,concurrency,timestamp,requests_per_sec,latency_ms,transfer_kbps,page_faults,minor_faults,major_faults,dtlb_misses,context_switches,cpu_migrations
largefile,thp,50,20260319_060231,6.8,7358.11,695832.63,1584,1577,7,0,223814,43
largefile,thp,200,20260319_061251,6.16,32452.537,631077.07,213294,212890,324,0,919758,993
largefile,thp,200,20260319_061819,6.12,32678.288,626717.41,3746,3738,7,0,974978,76
largefile,thp,200,20260319_060729,6.22,32130.18,637408.58,244386,244068,296,0,923492,454
smallfile,thp,400,20260319_055735,4497.78,88.933,19128.73,2841,2837,4,0,270312,65
smallfile,thp,200,20260319_055713,4569.82,43.765,19435.12,2424,2420,4,0,130075,52
largefile,4k,400,20260319_075115,5.88,68054.023,601876.31,7542,7455,74,0,2611658,244
largefile,4k,200,20260319_071138,6.18,32351.142,633055.0,3743,3736,7,0,870686,86
smallfile,4k,400,20260319_070154,4381.64,91.29,18634.82,6446,6442,4,0,266056,60
smallfile,thp,50,20260319_055546,4624.61,10.812,19668.12,1770,1766,4,0,68068,33
largefile,thp,50,20260426_085045,6.2,8067.072,634680.43,115524,115124,112,0,5894681,4272
smallfile,4k,200,20260319_070018,4504.82,44.397,19158.68,3447,3443,4,0,124338,26
smallfile,thp,50,20260301_124540,4523.6,11.053,19238.56,1773,1767,6,0,62791,19
largefile,4k,200,20260319_072228,6.06,33016.459,620298.27,3385,3378,7,0,928579,146
smallfile,thp,400,20260319_055906,4514.82,88.597,19201.2,2863,2859,4,0,268174,42
largefile,thp,50,20260319_060501,6.8,7357.785,695863.33,963,959,4,0,219212,123
smallfile,thp,50,20260319_055615,4605.84,10.856,19588.3,1790,1786,4,0,69221,41
largefile,4k,50,20260319_070406,6.66,7507.075,682025.0,1625,1618,7,0,220306,100
smallfile,4k,50,20260319_065914,4364.35,11.456,18561.28,1794,1790,4,0,68349,47
largefile,thp,400,20260319_062348,5.94,67297.419,608643.02,12461,12372,88,0,2011925,132
smallfile,4k,200,20260319_065953,4161.92,48.055,17700.34,3427,3423,4,0,132030,25
smallfile,thp,400,20260319_055821,4535.27,88.198,19288.2,2353,2349,4,0,265399,38
smallfile,thp,400,20260301_124617,4450.82,89.871,18929.03,2651,2645,6,0,264980,105
smallfile,4k,400,20260319_070104,4036.36,99.099,17166.37,6449,6445,4,0,265975,107
smallfile,4k,200,20260319_070041,4484.03,44.603,19070.24,3420,3416,4,0,126163,50
largefile,4k,50,20260319_070907,6.7,7465.198,685850.91,1971,1963,8,0,224553,130
largefile,thp,400,20260319_064628,5.91,67721.396,604832.54,4731,4722,9,0,2385518,71
largefile,thp,50,20260301_124704,,,,0,0,0,0,0,0
smallfile,4k,400,20260319_070241,4441.94,90.051,18891.24,6448,6444,4,0,264605,64
largefile,thp,50,20260319_060003,6.76,7392.453,692600.04,942,938,4,0,228145,89
largefile,4k,400,20260319_073927,5.67,70497.132,581018.03,6574,6566,8,0,3557249,100
smallfile,4k,50,20260319_065941,4344.65,11.508,18477.49,1769,1765,4,0,68778,37
smallfile,thp,200,20260301_124554,4495.13,44.493,19117.46,1896,1890,6,0,122418,33
smallfile,thp,200,20260319_055650,4541.33,44.04,19313.97,1897,1893,4,0,127650,34
smallfile,4k,50,20260319_065928,4389.04,11.392,18666.26,1776,1772,4,0,67848,35
largefile,thp,400,20260319_063502,5.86,68299.566,599712.52,6290,6281,9,0,2611613,119
largefile,4k,400,20260319_072759,5.82,68721.745,596028.29,5121,5111,10,0,2022420,263
largefile,thp,50,20260302_051309,,,,0,0,0,0,0,0
smallfile,thp,50,20260319_055604,4661.66,10.726,19825.71,1770,1766,4,0,67587,42
smallfile,thp,200,20260319_055627,4567.1,43.792,19423.54,2399,2395,4,0,127214,22
largefile,4k,200,20260319_071702,6.14,32551.814,629152.4,3397,3389,8,0,906688,70
largefile,4k,50,20260319_070637,6.67,7498.85,682773.12,950,946,4,0,224768,39
