file_type,mode,concurrency,requests_per_sec_mean,requests_per_sec_std,p95_latency_mean,page_faults_mean,minor_faults_mean,major_faults_mean,context_switches_mean
largefile,4k,50,6.676666666666667,0.02081665999466156,7633.333333333333,1515.3333333333333,1509.0,6.333333333333333,223209.0
largefile,4k,200,6.126666666666666,0.061101009266077755,33268.666666666664,3508.3333333333335,3501.0,7.333333333333333,901984.3333333334
largefile,4k,400,5.79,0.10816653826391989,70364.66666666667,6412.333333333333,6377.333333333333,30.666666666666668,2730442.3333333335
largefile,thp,50,4.072,3.717246292620385,4565.6,697.8,694.8,3.0,134234.2
largefile,thp,200,6.166666666666667,0.050332229568471325,33283.0,153808.66666666666,153565.33333333334,209.0,939409.3333333334
largefile,thp,400,5.903333333333333,0.04041451884327426,69920.0,7827.333333333333,7791.666666666667,35.333333333333336,2336352.0
smallfile,4k,50,4366.013333333333,22.241695828630956,13.333333333333334,1779.6666666666667,1775.6666666666667,4.0,68325.0
smallfile,4k,200,4383.59,192.25308242002234,49.333333333333336,3431.3333333333335,3427.3333333333335,4.0,127510.33333333333
smallfile,4k,400,4286.6466666666665,218.84145889966385,98.0,6447.666666666667,6443.666666666667,4.0,265545.3333333333
smallfile,thp,50,4603.9275,58.35801080400158,12.0,1775.75,1771.25,4.5,66916.75
smallfile,thp,200,4543.345,34.61200225355359,47.5,2154.0,2149.5,4.5,126839.25
smallfile,thp,400,4499.6725,35.99433786491074,95.75,2677.0,2672.5,4.5,267216.25
